"frame","x [nm]","y [nm]","intensity [photon]"
5.0,40427.811314959516,54745.575058847644,290471.4893938587
5.0,41949.4891693477,35616.20941644732,61278.80636727949
5.0,42406.47306340462,43562.34174231391,83596.04537237999
5.0,43012.64171076455,11102.281249920336,108555.13526173205
5.0,43390.95843521098,71707.41113461791,46918.364146533306
5.0,44410.365697350804,52574.8636382768,55468.741343272064
5.0,44780.4538935669,57887.332183494844,77032.30758339376
5.0,46096.67819540815,22793.47951988424,173542.42378841084
5.0,47737.18731537608,31896.578129028567,84140.57530476418
5.0,47767.71652295707,61666.66547805701,48719.09690399136
5.0,49789.93850325587,52155.364525130164,173352.17036460538
5.0,50531.3750642537,56426.585787787415,48204.483109479406
5.0,53777.27145716933,48781.31072724712,153474.818087672
5.0,53885.567605601995,78208.66672406302,46049.47378743766
5.0,56462.22872151407,62512.00320927427,180913.90038153064
5.0,56784.85624475724,28732.047814603276,63588.54948201517
5.0,57863.236044267825,27501.7261482796,91418.3281303743
5.0,59641.3909026277,46092.22014921026,90072.14337566635
5.0,60916.2783017445,80333.97064441402,51586.741695910874
5.0,61464.929041595264,46087.59263856471,330891.81518239476
5.0,62217.26465968191,36816.89020789949,70045.29519405068
5.0,62981.59840085874,52784.355066310665,48218.74540164109
5.0,63196.34989512272,22003.85733471203,58716.80118970302
5.0,63694.806127448785,71268.42675466876,122940.61906364451
5.0,64288.872194106145,57746.19698435206,143840.44120886855
5.0,64319.53848557906,5351.4166381843925,177805.0498271134
5.0,67148.11134417598,39939.99072659998,61316.8628461942
5.0,67745.40730757461,41101.66500792011,83298.67833019288
5.0,68123.1005196324,54159.85420878091,305714.82583137124
5.0,69206.00228197365,61448.76635542384,50418.50016228299
5.0,72529.99512948588,55762.580353610996,218360.11520873662
5.0,73919.51584914982,39188.527746717635,119870.06099259047
5.0,75396.46536126948,54843.731360315134,147290.94082250952
6.0,6452.51163635016,27959.381673700987,122672.13867694381
6.0,8127.414303881108,32855.40518839424,212249.9134760133
6.0,8949.85680057499,57904.81312556625,192952.66556316102
6.0,11722.600493527067,58075.81776865871,79064.09621134201
6.0,12102.747360011796,24697.48634038793,86668.47767103577
6.0,12170.374025911118,74780.30992783535,41041.70064400542
6.0,12225.19018766385,43319.09331100616,49296.66450351501
6.0,13507.396455572092,52629.45218465207,475146.03175123996
6.0,17842.053002456774,76494.24563490252,81175.21605678846
6.0,17910.49593088026,49691.276808825336,216799.777236455
6.0,18761.142176275785,63940.54285526327,81998.98559717942
6.0,21161.198735403617,23341.005199805306,60574.70976595825
6.0,21602.426801020305,20268.07022476394,212545.40939739544
6.0,22484.055521175676,77902.00980894337,46232.2461726061
6.0,23612.079059133084,31728.833346750846,186841.35121905836
6.0,24912.943149297018,71009.61721399907,46507.17482376998
6.0,24999.00359665566,34917.24366147271,63135.02338301559
6.0,25092.960811938883,39474.40449362958,506007.63801477465
6.0,25163.007818107748,63108.66809111356,217944.31991162227
6.0,26010.39853489745,12138.197425022223,70782.11992529374
6.0,26538.089856607643,51547.2502411456,366567.1225302218
6.0,27267.00894660888,28817.62332382193,97246.05256661926
6.0,28608.032028058733,77480.81398675434,54476.76744873895
6.0,29124.76123322216,24939.627154847207,396426.1445214827
6.0,29861.732873979454,77579.82542458393,73419.55311099955
6.0,31656.026920119795,44913.77753775898,98331.30057754468
6.0,33269.13340395851,40859.272938096175,175084.06018397518
6.0,34532.341928816655,47146.90180655524,162214.10964480042
6.0,36882.3178207114,48776.786309417934,101148.45807603418
6.0,37078.359080135466,72480.53234501957,88291.56491591697
6.0,37291.16102261704,55788.693082130645,130659.19721563431
6.0,38920.18784020088,66809.10709726402,115130.65289109679
6.0,39155.452111135535,62530.98982756887,127881.59309022053
6.0,40788.211317195266,71104.16456014526,73898.76738449481
6.0,44874.06340046354,21916.475524997164,55664.91573932833
6.0,45684.59380266222,29189.79461496601,76481.95214447871
6.0,45900.67009084473,37716.445210178346,60452.564085240534
6.0,46466.38498400479,49468.553596801554,42554.31820300288
6.0,48339.34947507338,61344.00515829422,621554.7411846409
6.0,49508.76224330444,27284.75569780239,54303.925833100715
6.0,52868.81448455287,74070.05036600101,81359.84272240875
6.0,53384.79014795939,23149.00752895132,1.2024309467650907E7
6.0,54378.11366574694,69659.53998581831,79642.06702953027
6.0,54987.00268043714,40066.61591281762,119858.07167951633
6.0,55335.429777726145,33470.925635256564,246876.9304013746
6.0,56326.13004925766,26517.26974276913,49257.8186863283
6.0,56371.589694323186,62517.267985811406,393169.77971540735
6.0,56621.054478442195,21637.03083179551,65037.04562511844
6.0,56626.89134354186,26713.432833691688,1.5296923860349428E7
6.0,58160.25025690827,76865.05931710977,80849.55455905313
6.0,58391.195380668876,51475.077362303724,86425.99764095091
6.0,59044.193576463396,70047.97612807102,112988.93896147865
6.0,59469.10641010879,67644.78013784358,85503.32771629446
6.0,61353.30949429393,46088.280874941454,284940.69798277924
6.0,61845.32627492071,62094.9539982272,61746.50255125219
6.0,62443.23754524952,46063.16549895442,103385.61275947395
6.0,64191.45325886445,78847.89287601452,323057.6132791035
6.0,64385.20616,54555.24666735171,60600.27038015671
6.0,67368.85554193576,48561.43527313538,61333.57894253328
6.0,68009.93116898321,54152.58057147897,328719.59784612036
6.0,72413.44609442366,55793.23657623089,227282.94791375444
6.0,73993.24811777244,38262.40122337142,51271.69648938991
6.0,74127.5398884397,29049.209764618863,64467.78139761242
6.0,76951.94638920156,51210.89088390563,44048.16227727938
7.0,2733.999891786703,56050.62194773452,36683.84491543297
7.0,3398.778228188225,60292.90571907699,64581.13177775656
7.0,5429.338696339647,46482.10461581802,72583.25698830278
7.0,6810.348296308689,27918.11411796963,121039.04526034385
7.0,7550.93430749959,29261.772144067116,57714.74069802245
7.0,7611.341462310473,78355.53696819558,57358.20947165467
7.0,10961.435835867032,79858.84496076664,67222.17437796043
7.0,11747.350744634507,61111.56680268882,85631.81586406383
7.0,12502.326309246357,24776.62528298833,140297.62660550495
7.0,13896.06967622775,43497.920255706886,48378.21072305615
7.0,13836.44636246138,52584.766567580715,518131.98336584005
7.0,15653.983917794807,627.1428827628599,1077858.8899092763
7.0,16354.424202317514,25622.260873698975,124177.96108736096
7.0,16827.182980329246,64642.63906550271,45688.203320722365
7.0,21003.61942801725,44788.80442082169,185221.76164963224
7.0,21839.202086346933,20246.25373878667,295115.7152437147
7.0,22760.82229035017,477.7219673582279,103160.4557541824
7.0,23359.970816519228,44548.225614721705,82305.37582301834
7.0,23457.808864071296,35332.631357480146,42192.17049851881
7.0,24196.410260577708,38267.58291528316,127882.3263984707
7.0,24399.328645621918,23299.650348952415,81075.56859327978
7.0,24540.805646198296,43319.01738828471,328377.4905098524
7.0,25350.245616495882,768.7269300053665,85106.16693046148
7.0,25416.778798209652,78671.68349120465,84092.14244883931
7.0,26452.697774446,13819.80668417109,78286.56916677549
7.0,27645.291118927256,28751.272870796107,162020.2611159421
7.0,27635.129825961172,49871.863667555495,42984.50795373297
7.0,29426.076955488417,24927.750124514954,249149.117089048
7.0,29603.97323116923,55838.070136184564,74844.84673089054
7.0,31636.30932840424,77905.02760419357,57834.46077387931
7.0,31955.681513983054,80593.51660651599,1.590643540734001E7
7.0,32656.570549982564,49858.11273868256,57221.715570738015
7.0,33922.50720533243,17384.82101010103,100067.39610230524
7.0,34013.18957406259,50585.46836449355,64166.478203424194
7.0,37276.61922928811,72382.40334270151,52697.78838921759
7.0,37267.55400860788,48794.24911023188,166318.24382480708
7.0,39530.69956389406,62483.21503397471,130123.62853632799
7.0,39643.895588569976,51810.00645983863,194795.44051979404
7.0,39868.559906362665,33885.40927487324,52333.724547009195
7.0,40314.30776751084,3447.743595408473,160741.4239275214
7.0,41152.280341911406,63642.64431441623,89267.23054805816
7.0,44888.30450111208,74416.03326377428,95728.8222521892
7.0,45143.97109561264,35453.316864318665,57301.62257074717
7.0,45362.256338499865,68795.11991121212,70348.87764325093
7.0,46788.329148946774,49573.11638354873,51581.356975375806
7.0,47298.97461192118,55674.17976246683,52151.94488707359
7.0,47793.66836434748,10248.216409164346,140346.5300732902
7.0,48362.07956991131,71239.98498746949,111725.2512381171
7.0,48860.50509497302,61405.404801864606,528521.7162379745
7.0,48958.40969479663,78601.47880180586,31597.34591188718
7.0,51859.296606052245,36078.63815919334,80558.21335807975
7.0,53047.1188517039,41952.257506409376,75350.65913905643
7.0,55081.62870220444,26398.945220095582,336222.556518462
7.0,55971.87382547512,30718.307526377295,66650.870325353
7.0,57989.864264798896,32857.46898447486,69357.54768342347
7.0,61671.27393746991,46074.621464796866,291495.8819136393
