frame,x [nm],y [nm],intensity [photon],Rough_label,Final_label
6.0,77916.32992304713,80780.75951598595,56400.87848237371,-1,-1.0
7.0,2058.693375376649,72029.9017581352,56654.94787009502,19,-1.0
7.0,5038.475993082481,8550.27274786437,117155.8461898578,-1,-1.0
7.0,9326.60135158015,826.117928141158,48955.22464968946,-1,-1.0
7.0,11292.331902102844,66935.93707456307,364495.289629088,19,29.0
7.0,11604.598759502112,43577.81607040205,61541.09275683338,-1,-1.0
7.0,14878.553498349,53145.61682810682,75997.9273681913,-1,-1.0
7.0,17012.715605874815,19839.470847796536,265387.5073139295,-1,-1.0
7.0,17798.28053385102,74119.9103358842,76479.11785147694,19,-1.0
7.0,21103.5628007737,52518.27257475933,67607.11347178991,-1,-1.0
7.0,21193.95262636484,47090.48868792229,106767.04411580734,-1,-1.0
7.0,21572.170391890093,42512.87101567102,216690.968192923,14,-1.0
7.0,21987.79155311192,27873.08086290405,68906.04832017332,-1,-1.0
7.0,22248.74044248683,58607.04016268939,81907.2627103895,-1,-1.0
7.0,23760.79414676883,69253.17451625544,75801.72814114197,19,-1.0
7.0,27778.453675036635,70201.84581568617,71572.30233590792,-1,-1.0
7.0,29114.31621855829,81368.14673987243,59198.68964798687,-1,-1.0
7.0,32601.08938992162,32600.27250114644,460034.7928140734,-1,-1.0
7.0,35481.067188389534,61519.11189267988,129531.1946520391,-1,-1.0
7.0,38067.995792075126,80817.39288237705,86251.73754960012,-1,-1.0
7.0,39636.780213635015,16153.641939963927,137158.51418042975,1,-1.0
7.0,41016.28462237603,39471.73105534471,61944.34352312223,-1,-1.0
7.0,41720.73453621384,31039.393374521136,174094.917894682,-1,-1.0
7.0,42574.74744561022,60186.1843146794,283713.03169971163,12,-1.0
7.0,42841.45935425561,24461.41269820142,68925.46186310014,-1,-1.0
7.0,42822.30981589357,48035.61485926664,161200.57761835994,12,-1.0
7.0,42777.37252701838,63581.94734256839,85266.29444750024,12,-1.0
7.0,44312.750091265465,20931.830884042647,162800.99037346977,-1,-1.0
7.0,45305.584418398925,49324.87193213187,52997.833609003166,-1,-1.0
7.0,45215.2206001656,54602.95700635399,41259.42167976207,12,-1.0
7.0,45692.0915683967,44640.3811649476,65303.34412688123,12,-1.0
7.0,46015.17869078652,43474.82510122423,125952.37293855337,-1,-1.0
7.0,47077.02084317579,36606.62103129707,42239.49484679376,-1,-1.0
7.0,48533.74896957561,50325.11743897244,186506.83670249383,-1,-1.0
7.0,48865.77020872226,73442.32459974282,317665.99473445304,10,-1.0
7.0,50889.33957895808,53225.41322339373,41098.03861609216,12,-1.0
7.0,53654.72488286552,67225.47065056245,94097.06767842456,-1,-1.0
7.0,55140.8397144136,33967.03141306046,50815.024834594886,-1,-1.0
7.0,55577.31835691816,23600.91445909943,122019.48188209404,-1,-1.0
7.0,58156.17797744801,37333.53371971559,47512.85437558592,-1,-1.0
7.0,58508.14890295717,56712.58562282117,288491.2769692979,-1,-1.0
7.0,60262.54361829413,37140.766273365865,140670.54115678064,-1,-1.0
7.0,62838.8789050764,42530.54219995975,114392.66400349129,16,-1.0
7.0,64900.55905996017,51973.04836666001,92918.50761753792,-1,-1.0
7.0,65129.55001815904,69543.005172646,43859.732738423656,-1,-1.0
7.0,66665.57165538393,76205.65701517885,58528.98921368895,-1,-1.0
7.0,70134.04667306207,44710.20009116691,158009.32100780768,-1,-1.0
7.0,70418.8035121123,53640.74680411448,148786.71750113263,-1,-1.0
7.0,74328.9606200406,42551.00206693233,67276.8330162145,3,-1.0
7.0,74991.05827926531,79720.42371546867,468364.8894372337,-1,-1.0
7.0,77413.01294096938,59187.76721172952,56689.3629953195,-1,-1.0
7.0,79454.0800533745,15233.285897562257,196328.45426512024,-1,-1.0
7.0,79520.27240338789,68310.71428051409,69206.9416650292,11,-1.0
8.0,3339.584537712394,76955.88739087644,46496.00914729462,19,-1.0
8.0,4637.708090344397,80984.48663121296,12082633.332838826,-1,-1.0
8.0,5089.3840485387245,66654.30079506637,50792.97437573805,19,-1.0
8.0,5214.999998124667,37448.16415814972,107135.86406149575,-1,-1.0
8.0,6474.782758534857,50892.23241578043,108763.45209283316,-1,-1.0
8.0,6684.703215265355,76478.67484792895,55263.58793500917,19,-1.0
8.0,8681.97382481287,40299.24446959056,56838.03529141296,-1,-1.0
8.0,10821.358291748518,79254.67675730091,73236.83370693776,19,-1.0
8.0,11231.571018049875,66940.82116897247,271381.9216440239,19,29.0
8.0,13307.960770530002,61287.64585286519,65719.29993771571,19,-1.0
8.0,13490.81538170682,30843.26239845496,37987.82720311912,-1,-1.0
8.0,14302.532897438306,76615.99453742808,93757.70874607508,19,-1.0
8.0,14689.363437320404,39129.95680910918,496812.39458101086,13,-1.0
8.0,19655.627756965267,75721.55854719481,173291.59686769143,19,-1.0
8.0,25239.87792345917,28430.760667719795,42311.69014748777,8,-1.0
8.0,26024.06386265244,40524.85909476608,55075.8806116895,14,-1.0
8.0,26351.612757886604,35660.71425503353,80955.50156531381,-1,-1.0
8.0,28453.8307743146,63152.60473707283,83072.52107873904,-1,-1.0
8.0,31789.24805542649,59630.845263088,46801.76261360674,-1,-1.0
8.0,32427.02945769617,30766.779606157696,309752.99038917467,-1,-1.0
8.0,32635.48907232918,32661.26879036884,67163.11712829751,-1,-1.0
8.0,34135.623283377645,44043.16931195969,102623.44328788476,14,-1.0
8.0,34950.67642298468,50724.88337215952,104213.70271995844,14,-1.0
8.0,35731.28906488612,24633.162887689075,55391.46184560895,-1,-1.0
8.0,37423.09735292946,63947.82148894118,69304.32908275737,-1,-1.0
8.0,37771.88942329296,49559.444293272514,214798.52813763163,14,-1.0
8.0,40095.794225851685,78272.31949806021,61801.06786370041,10,-1.0
8.0,41012.09249677406,64388.26722271328,45919.51730328134,12,-1.0
8.0,42343.98701885058,58699.69133814489,219120.6216147764,12,-1.0
8.0,45534.54178223587,44623.43788121095,226685.47998242572,12,-1.0
8.0,46947.89280594065,59496.04123535536,306366.623880763,12,-1.0
8.0,48806.19800754304,73443.12848392465,202187.82690756285,10,-1.0
8.0,49798.92825018699,65384.36113990375,1071034.2837534864,-1,-1.0
